category,quantity,storage,prep_hour,temp,humidity,safe_hours
Cooked,7,Fridge,9,15,32,11.47
Cooked,8,Freezer,10,20,30,9.41
Cooked,10,Room,21,36,39,5.57
Packaged,2,Room,8,19,59,50.01
Bakery,8,Fridge,1,11,82,15.19
Cooked,6,Fridge,21,25,57,9.49
Cooked,1,Room,4,15,51,6.15
Bakery,5,Freezer,23,10,53,48.02
Cooked,7,Room,12,34,47,4.6
Packaged,7,Fridge,20,15,37,59.26
Packaged,3,Room,3,31,88,16.89
Packaged,8,Freezer,5,29,79,54.79
Cooked,3,Freezer,15,36,37,13.33
Bakery,2,Room,8,25,30,22.86
Packaged,10,Freezer,23,19,72,74.14
Packaged,10,Freezer,3,32,72,42.83
Bakery,7,Fridge,4,40,87,13.38
Cooked,3,Room,16,35,84,2.6
Cooked,8,Room,10,20,51,6.93
Cooked,4,Freezer,17,29,55,15.03
Cooked,8,Fridge,18,33,35,8.23
Bakery,2,Fridge,15,6,36,40.61
Cooked,9,Freezer,0,10,80,9.13
Packaged,5,Freezer,16,40,43,56.72
Bakery,6,Fridge,1,19,84,17.99
Packaged,10,Freezer,15,28,75,55.03
Cooked,4,Freezer,0,26,52,15.14
Bakery,9,Freezer,11,11,32,55.61
Bakery,7,Room,3,21,69,11.15
Cooked,4,Fridge,14,17,75,6.94
Bakery,10,Room,3,33,59,11.46
Packaged,8,Room,0,38,77,15.14
Bakery,8,Freezer,16,16,74,33.18
Packaged,2,Room,12,25,62,33.54
Bakery,4,Freezer,8,30,51,31.51
Bakery,3,Room,13,37,49,13.87
Packaged,9,Fridge,20,18,42,49.46
Packaged,6,Fridge,21,13,75,49.92
Cooked,9,Freezer,22,25,75,6.79
Bakery,8,Freezer,18,31,73,21.66
Packaged,7,Fridge,0,38,36,34.26
Cooked,1,Room,6,22,78,5.63
Bakery,5,Freezer,4,8,74,44.56
Cooked,1,Freezer,11,33,36,11.77
Packaged,9,Freezer,7,40,54,44.71
Packaged,1,Fridge,12,29,56,65.53
Packaged,9,Fridge,1,5,77,47.32
Packaged,4,Fridge,20,28,78,43.8
Packaged,4,Freezer,23,17,48,87.36
Packaged,3,Room,5,37,37,28.6
Bakery,9,Fridge,8,13,40,27.86
Bakery,6,Room,14,14,32,19.13
Bakery,1,Freezer,20,24,61,35.23
Packaged,2,Fridge,22,25,63,38.76
Cooked,2,Freezer,16,15,56,15.15
Bakery,6,Room,7,18,72,13.94
Bakery,4,Fridge,19,38,60,17.35
Packaged,2,Room,21,27,58,32.6
Packaged,10,Freezer,7,7,73,87.42
Bakery,7,Room,8,39,76,8.15
Packaged,9,Fridge,16,33,61,22.28
Packaged,6,Room,16,10,90,21.39
Packaged,1,Freezer,20,9,43,117.18
Cooked,7,Freezer,3,18,64,13.25
Packaged,2,Fridge,23,14,31,74.07
Bakery,2,Room,2,8,41,26.65
Packaged,10,Room,7,21,56,30.45
Packaged,7,Fridge,10,6,54,72.68
Packaged,10,Room,2,7,74,39.22
Bakery,2,Freezer,9,24,68,25.08
Bakery,7,Fridge,21,6,60,22.11
Cooked,7,Room,17,23,70,3.28
Packaged,6,Freezer,0,40,85,34.91
Cooked,1,Room,18,30,64,3.41
Cooked,4,Fridge,23,27,43,7.97
Packaged,3,Freezer,5,16,44,94.84
Bakery,2,Room,5,8,84,17.03
Packaged,9,Fridge,2,23,72,32.19
Cooked,10,Room,15,26,52,3.84
Packaged,2,Room,9,9,87,28.01
Bakery,6,Fridge,19,24,74,20.39
Packaged,6,Freezer,10,32,40,42.14
Cooked,7,Room,8,28,38,7.22
Bakery,8,Fridge,14,27,79,17.36
Packaged,3,Room,20,10,83,24.42
Cooked,4,Freezer,8,9,76,9.61
Cooked,1,Freezer,18,30,79,7.72
Cooked,5,Freezer,17,39,60,7.54
Cooked,7,Fridge,7,23,38,9.44
Packaged,7,Room,11,37,30,30.03
Packaged,3,Freezer,16,13,58,78.26
Packaged,3,Freezer,23,35,90,33.82
Cooked,4,Fridge,2,21,53,6.96
Packaged,9,Room,11,29,60,30.29
Cooked,6,Room,3,38,70,3.73
Packaged,10,Fridge,17,16,54,58.36
Bakery,2,Freezer,16,21,54,46.48
Cooked,7,Freezer,11,27,61,11.3
Packaged,9,Room,4,33,40,20.25
Packaged,5,Freezer,6,14,41,75.73
Packaged,2,Freezer,21,19,56,103.48
Packaged,8,Room,21,35,60,16.34
Cooked,7,Freezer,0,20,32,10.66
Packaged,3,Room,20,37,32,34.78
Cooked,3,Room,8,16,63,6.88
Packaged,1,Freezer,23,23,90,44.07
Bakery,8,Freezer,15,15,44,45.96
Packaged,10,Room,5,37,46,19.35
Packaged,8,Fridge,19,9,44,63.57
Cooked,1,Room,6,38,85,3.42
Packaged,3,Fridge,19,11,41,61.18
Packaged,1,Freezer,17,37,78,38.54
Bakery,3,Freezer,19,39,82,13.39
Packaged,7,Freezer,16,31,53,59.44
Packaged,7,Freezer,7,35,80,37.21
Bakery,10,Freezer,3,32,38,25.19
Cooked,5,Room,19,39,56,3.26
Cooked,1,Freezer,18,38,37,11.07
Bakery,4,Freezer,22,25,56,34.95
Cooked,10,Fridge,8,21,84,5.09
Packaged,10,Fridge,8,30,78,23.6
Packaged,8,Freezer,5,28,65,59.36
Bakery,10,Fridge,11,30,77,10.78
Packaged,4,Room,14,15,36,43.09
Bakery,9,Fridge,19,8,40,29.98
Packaged,2,Room,4,35,89,17.21
Cooked,5,Room,7,28,35,7.14
Packaged,7,Fridge,19,38,48,38.22
Packaged,3,Room,20,36,58,20.16
Packaged,5,Freezer,6,7,80,69.63
Packaged,4,Freezer,19,15,73,58.11
Cooked,1,Freezer,5,10,47,17.74
Bakery,7,Freezer,12,17,63,25.58
Packaged,2,Room,17,23,76,32.94
Packaged,6,Fridge,8,19,68,55.82
Bakery,10,Fridge,0,21,41,22.0
Cooked,2,Freezer,16,23,51,16.62
Packaged,9,Fridge,18,21,74,38.03
Bakery,8,Freezer,7,26,79,27.37
Bakery,1,Freezer,15,12,46,36.24
Packaged,4,Room,10,31,52,24.84
Cooked,5,Freezer,7,23,35,13.66
Packaged,2,Fridge,17,16,60,46.46
Cooked,5,Freezer,5,17,61,13.01
Cooked,4,Freezer,8,18,44,11.44
Cooked,6,Freezer,4,11,37,21.22
Packaged,8,Freezer,19,5,78,89.61
Cooked,6,Fridge,19,25,61,8.29
Packaged,8,Fridge,5,37,47,33.23
Packaged,1,Room,16,32,60,24.32
Cooked,6,Freezer,12,16,59,18.2
Packaged,8,Freezer,10,5,30,125.8
Bakery,2,Freezer,10,28,69,35.67
Cooked,5,Freezer,7,22,60,12.75
Bakery,3,Fridge,15,32,43,17.4
Bakery,7,Fridge,8,33,41,17.45
Packaged,4,Freezer,3,22,81,45.08
Bakery,4,Fridge,4,14,60,26.52
Cooked,8,Fridge,4,38,64,5.09
Bakery,5,Fridge,17,8,55,27.71
Cooked,4,Room,8,35,83,2.79
Bakery,6,Freezer,8,28,53,37.0
Bakery,1,Fridge,13,12,52,35.58
Packaged,10,Room,18,39,41,26.59
Bakery,6,Fridge,21,37,61,15.44
Bakery,7,Room,19,23,59,17.05
Cooked,6,Room,13,30,84,3.16
Cooked,6,Room,7,25,50,6.02
Packaged,10,Fridge,20,30,47,38.66
Bakery,10,Freezer,16,33,56,20.08
Cooked,4,Room,21,21,90,4.26
Packaged,4,Room,5,30,36,24.82
Bakery,1,Freezer,0,30,63,24.42
Cooked,5,Room,19,14,35,8.45
Bakery,4,Fridge,7,23,58,26.81
Cooked,3,Freezer,0,7,72,12.32
Bakery,8,Fridge,17,22,65,18.54
Packaged,3,Freezer,18,34,70,48.51
Packaged,9,Fridge,20,39,49,39.63
Bakery,4,Freezer,2,33,49,24.5
Bakery,5,Room,0,5,63,20.5
Cooked,5,Fridge,15,39,30,7.87
Bakery,5,Fridge,0,32,81,10.32
Cooked,9,Room,11,17,56,7.49
Bakery,4,Fridge,5,29,83,15.61
Bakery,7,Room,20,20,63,14.4
Packaged,5,Freezer,9,39,81,31.51
Cooked,3,Room,4,23,37,7.5
Packaged,5,Fridge,22,36,42,33.81
Cooked,9,Room,0,16,36,6.12
Cooked,8,Freezer,23,5,44,11.4
Cooked,4,Fridge,10,31,49,7.05
Bakery,8,Fridge,22,7,51,26.09
Cooked,5,Room,12,9,64,5.87
Cooked,7,Fridge,0,12,79,8.47
Bakery,4,Fridge,23,7,42,33.67
Cooked,4,Freezer,15,29,73,12.98
Bakery,1,Room,23,40,63,8.26
Bakery,5,Freezer,6,28,86,19.07
Packaged,2,Room,7,32,50,20.52
Bakery,2,Freezer,12,20,30,55.7
Packaged,8,Freezer,22,14,53,92.53
Cooked,8,Room,2,26,89,4.51
Packaged,1,Room,11,14,74,34.48
Cooked,8,Room,7,25,65,5.04
Bakery,4,Fridge,0,29,52,27.91
Bakery,8,Room,22,33,65,8.06
Packaged,4,Fridge,18,16,64,45.68
Packaged,5,Fridge,19,40,40,30.14
Cooked,5,Fridge,8,39,53,5.65
Packaged,7,Freezer,23,16,86,44.57
Bakery,4,Freezer,10,9,72,48.55
Bakery,9,Room,21,36,79,8.92
Packaged,6,Fridge,13,25,37,51.51
Packaged,1,Room,4,16,85,22.43
Cooked,4,Fridge,3,7,66,10.0
Bakery,8,Freezer,16,21,33,39.33
Packaged,2,Freezer,0,18,71,73.37
Cooked,1,Fridge,11,40,77,6.41
Bakery,1,Fridge,19,22,63,16.93
Cooked,2,Fridge,6,38,36,5.38
Cooked,7,Freezer,6,17,63,12.01
Packaged,3,Freezer,17,40,56,60.58
Packaged,6,Freezer,21,34,74,44.82
Cooked,3,Room,17,30,62,2.86
Cooked,10,Freezer,14,27,87,6.39
Bakery,7,Fridge,20,32,82,12.1
Packaged,10,Room,17,18,54,40.55
Packaged,6,Fridge,14,33,55,28.67
Cooked,10,Fridge,0,38,38,8.54
Bakery,5,Room,7,18,84,11.42
Packaged,9,Fridge,16,40,66,31.89
Cooked,1,Room,14,27,39,5.38
Bakery,4,Freezer,7,21,81,22.05
Packaged,10,Fridge,6,9,76,48.02
Bakery,8,Room,22,11,68,15.49
Cooked,10,Freezer,12,10,79,7.27
Bakery,7,Fridge,13,12,85,20.23
Packaged,10,Freezer,0,29,33,77.58
Cooked,9,Fridge,18,14,50,8.97
Cooked,1,Room,21,30,58,4.83
Packaged,2,Freezer,7,32,48,62.43
Cooked,6,Room,2,35,66,3.56
Packaged,5,Fridge,2,30,62,28.37
Packaged,3,Room,15,40,42,24.95
Packaged,4,Freezer,17,38,45,48.69
Bakery,6,Fridge,21,10,37,36.49
Bakery,6,Fridge,6,25,52,25.6
Cooked,3,Fridge,11,33,69,3.68
Cooked,4,Room,21,28,39,7.93
Cooked,1,Room,7,14,85,5.4
Bakery,6,Room,22,12,49,18.42
Cooked,4,Fridge,23,39,43,4.75
Packaged,9,Fridge,15,14,74,48.32
Cooked,10,Fridge,21,38,32,5.38
Cooked,4,Fridge,22,22,33,9.91
Cooked,7,Room,21,22,72,5.3
Packaged,2,Fridge,0,23,85,40.9
Bakery,7,Room,16,11,87,11.05
Packaged,2,Freezer,5,17,62,87.37
Packaged,1,Freezer,1,20,89,53.44
Bakery,7,Fridge,23,15,31,31.08
Bakery,5,Fridge,7,37,47,19.91
Packaged,7,Fridge,0,40,90,20.89
Cooked,7,Fridge,21,13,35,12.82
Packaged,10,Freezer,20,19,56,72.27
Cooked,5,Fridge,19,26,58,8.56
Cooked,3,Freezer,18,39,73,8.47
Cooked,9,Fridge,4,32,88,4.67
Cooked,10,Freezer,5,25,34,13.98
Packaged,3,Room,10,14,76,26.75
Bakery,7,Fridge,9,33,77,16.14
Packaged,5,Freezer,4,17,36,89.79
Cooked,10,Freezer,8,19,68,8.48
Packaged,6,Room,2,35,38,28.69
Packaged,6,Fridge,5,29,61,40.52
Cooked,4,Room,1,31,78,4.15
Bakery,4,Fridge,23,17,78,20.28
Cooked,10,Fridge,15,25,85,4.83
Cooked,7,Fridge,1,29,76,5.64
Packaged,10,Freezer,19,39,63,41.49
Packaged,9,Room,3,33,59,25.68
Cooked,9,Room,17,30,77,2.01
Bakery,1,Freezer,6,23,58,37.24
Bakery,8,Fridge,5,32,48,17.47
Cooked,9,Freezer,4,34,83,5.7
Cooked,9,Freezer,3,16,79,11.1
Packaged,3,Freezer,12,31,50,54.07
Cooked,10,Fridge,22,17,86,5.55
Bakery,3,Fridge,22,12,35,29.48
Bakery,6,Freezer,2,38,75,19.14
Packaged,3,Freezer,12,40,54,45.09
Cooked,10,Fridge,21,14,40,10.96
Cooked,1,Freezer,13,24,49,15.0
Bakery,3,Fridge,3,13,42,23.11
Bakery,8,Room,15,36,64,10.08
Packaged,4,Fridge,6,35,59,35.68
Cooked,10,Freezer,0,20,86,7.52
Packaged,9,Freezer,6,8,41,82.78
Packaged,1,Fridge,4,7,72,61.71
Packaged,6,Fridge,2,8,36,80.17
Cooked,5,Room,19,40,41,5.09
Packaged,6,Freezer,1,10,79,63.52
Bakery,2,Fridge,13,40,34,19.97
Cooked,5,Room,10,38,56,3.95
Packaged,10,Room,1,11,66,32.02
Packaged,2,Freezer,15,23,57,83.51
Bakery,9,Fridge,18,27,89,12.68
Packaged,9,Fridge,23,36,61,30.6
Packaged,5,Room,6,5,37,45.49
Packaged,4,Room,19,31,56,20.19
Bakery,4,Freezer,0,17,74,30.92
Cooked,5,Fridge,16,40,50,6.86
Cooked,6,Freezer,10,30,76,7.04
Cooked,4,Room,10,26,89,4.09
Bakery,3,Room,15,14,70,15.54
Packaged,8,Fridge,13,8,83,43.8
Packaged,6,Freezer,17,39,31,55.7
Packaged,6,Fridge,2,14,47,66.89
Bakery,9,Fridge,5,29,41,24.34
Bakery,6,Freezer,22,7,47,46.79
Bakery,6,Room,14,24,43,16.56
Cooked,6,Room,1,17,88,2.97
Packaged,8,Room,16,14,42,35.52
Bakery,9,Freezer,9,25,39,46.03
Cooked,3,Freezer,6,7,59,15.74
Packaged,1,Room,9,7,73,45.45
Cooked,8,Fridge,1,11,63,8.58
Packaged,1,Fridge,18,24,70,51.28
Bakery,4,Room,9,22,64,12.45
Bakery,2,Freezer,8,14,40,39.73
Cooked,9,Freezer,16,11,43,13.5
Packaged,5,Fridge,4,23,66,37.38
Cooked,10,Fridge,10,39,58,3.75
Cooked,1,Fridge,3,29,33,7.7
Bakery,10,Room,18,33,69,8.02
Bakery,9,Room,2,34,66,7.29
Packaged,2,Fridge,14,24,73,46.17
Bakery,4,Fridge,7,14,85,22.31
Bakery,7,Fridge,5,26,80,18.23
Bakery,8,Fridge,0,9,60,21.25
Bakery,3,Fridge,9,27,68,21.31
Packaged,7,Room,22,11,50,39.46
Cooked,9,Fridge,14,30,67,4.11
Packaged,9,Room,5,35,54,18.76
Cooked,10,Freezer,13,32,66,7.49
Packaged,4,Freezer,5,9,77,98.19
Packaged,2,Fridge,18,34,50,39.04
Bakery,5,Room,12,9,68,14.86
Packaged,6,Fridge,15,8,35,73.56
Cooked,1,Freezer,4,14,58,15.26
Bakery,10,Freezer,14,17,43,41.83
Bakery,10,Fridge,21,24,88,17.86
Bakery,6,Freezer,2,5,69,47.33
Bakery,5,Room,1,28,87,11.06
Cooked,9,Room,11,12,85,3.32
Cooked,7,Room,22,30,70,2.64
Bakery,7,Fridge,13,39,43,18.14
Bakery,4,Room,17,29,83,13.07
Bakery,5,Room,21,13,38,17.99
Packaged,3,Room,23,36,72,19.55
Cooked,3,Room,20,31,85,2.53
Packaged,7,Freezer,19,16,59,85.23
Packaged,7,Fridge,11,19,41,56.15
Cooked,8,Freezer,23,20,75,9.3
Bakery,10,Freezer,11,7,32,56.18
Packaged,2,Fridge,18,35,74,25.42
Packaged,9,Freezer,8,34,63,33.22
Packaged,4,Room,15,9,73,40.11
Packaged,10,Fridge,1,26,64,42.51
Bakery,9,Fridge,15,26,56,21.83
Bakery,3,Fridge,1,24,76,23.24
Bakery,8,Room,18,15,66,11.67
Bakery,10,Freezer,0,23,61,21.93
Packaged,5,Room,8,13,69,29.12
Bakery,2,Room,19,16,88,13.58
Cooked,8,Freezer,11,16,46,15.87
Cooked,3,Fridge,16,7,51,15.35
Cooked,3,Freezer,15,31,79,6.51
Packaged,3,Fridge,6,27,33,68.13
Cooked,3,Room,14,30,60,2.78
Packaged,4,Freezer,12,29,60,56.15
Packaged,1,Fridge,9,33,54,41.55
Packaged,1,Freezer,3,39,70,42.85
Bakery,5,Freezer,10,22,47,41.55
Bakery,10,Freezer,12,34,79,20.32
Cooked,10,Freezer,6,38,51,8.78
Cooked,9,Fridge,0,5,83,4.86
Bakery,9,Room,3,33,52,9.54
Bakery,4,Fridge,1,6,69,22.44
Packaged,4,Freezer,19,12,75,84.41
Cooked,3,Freezer,12,16,87,6.98
Cooked,5,Fridge,14,9,70,8.71
Bakery,6,Fridge,8,15,79,18.32
Cooked,7,Fridge,10,8,46,14.18
Bakery,8,Room,2,36,89,6.25
Bakery,8,Room,3,14,64,16.31
Cooked,2,Freezer,14,21,36,10.6
Cooked,5,Freezer,14,6,87,10.7
Packaged,1,Freezer,1,29,47,69.94
Bakery,10,Fridge,0,37,75,15.36
Bakery,7,Fridge,12,9,64,22.92
Bakery,8,Freezer,3,39,89,19.32
Bakery,5,Freezer,12,8,70,48.3
Packaged,6,Room,17,26,35,46.54
Bakery,4,Freezer,5,40,32,37.77
Packaged,5,Room,22,29,87,19.0
Packaged,8,Fridge,2,33,77,24.28
Cooked,1,Room,23,20,61,4.38
Packaged,5,Freezer,15,39,83,39.05
Cooked,6,Room,1,26,80,4.07
Bakery,4,Room,20,38,59,14.16
Packaged,10,Room,7,9,32,56.5
Bakery,1,Freezer,15,7,45,57.37
Cooked,3,Room,20,8,87,4.38
Cooked,10,Fridge,5,9,82,8.13
Cooked,10,Fridge,19,19,34,12.7
Bakery,7,Fridge,10,12,73,22.98
Cooked,4,Fridge,1,16,51,6.9
Bakery,7,Room,5,28,65,10.97
Cooked,1,Freezer,4,11,80,11.97
Packaged,3,Fridge,0,36,35,36.21
Cooked,10,Room,9,31,74,3.44
Bakery,3,Freezer,6,14,70,31.25
Bakery,4,Fridge,5,7,68,23.51
Bakery,2,Freezer,20,24,52,37.03
Packaged,4,Room,3,38,36,31.02
Packaged,4,Freezer,14,18,47,73.24
Cooked,8,Room,15,16,40,6.76
Cooked,6,Room,9,18,57,5.24
Packaged,1,Fridge,3,8,89,49.35
Cooked,8,Room,16,12,34,9.21
Packaged,10,Fridge,18,25,56,42.05
Packaged,4,Fridge,3,25,44,44.37
Packaged,4,Fridge,12,19,34,72.12
Bakery,7,Room,4,18,89,12.63
Cooked,6,Fridge,4,34,76,3.65
Bakery,4,Fridge,10,13,32,38.02
Cooked,3,Fridge,3,34,59,5.69
Bakery,5,Room,19,15,80,14.08
Packaged,10,Room,17,19,35,42.43
Packaged,4,Fridge,18,35,83,23.7
Cooked,7,Freezer,23,20,45,10.45
Packaged,10,Room,4,5,56,51.3
Cooked,9,Fridge,1,32,63,4.05
Packaged,8,Room,15,20,35,40.53
Cooked,7,Freezer,6,13,52,11.74
Packaged,1,Room,15,24,40,39.94
Packaged,10,Freezer,0,34,59,54.42
Packaged,3,Fridge,11,34,75,31.69
Packaged,7,Room,22,26,63,21.83
Bakery,10,Fridge,17,18,80,18.56
Packaged,1,Fridge,16,28,86,29.55
Bakery,8,Fridge,19,7,53,30.17
Packaged,2,Freezer,17,18,38,131.69
Cooked,2,Freezer,20,35,77,9.27
Packaged,4,Freezer,23,19,50,83.93
Bakery,7,Freezer,8,8,34,54.17
Bakery,9,Fridge,16,12,60,23.49
Packaged,5,Freezer,14,28,81,53.04
Packaged,4,Room,14,10,35,46.52
Cooked,2,Fridge,3,15,47,7.44
Cooked,3,Fridge,6,38,90,4.24
Bakery,9,Fridge,4,35,52,15.77
Packaged,1,Freezer,9,17,34,90.7
Cooked,6,Freezer,13,26,71,10.55
Bakery,10,Fridge,21,38,83,10.67
Bakery,10,Fridge,4,24,40,25.9
Cooked,6,Fridge,9,8,39,11.97
Bakery,10,Room,5,39,48,9.2
Cooked,3,Freezer,5,20,37,10.5
Bakery,3,Freezer,14,21,53,32.52
Packaged,1,Freezer,21,25,52,69.82
Bakery,3,Freezer,17,24,37,53.86
Bakery,3,Fridge,14,25,39,24.13
Packaged,9,Freezer,10,23,60,66.13
Packaged,3,Freezer,18,33,51,59.32
Packaged,1,Fridge,4,40,37,42.97
Bakery,4,Freezer,14,27,35,41.22
Packaged,4,Freezer,18,38,44,60.39
Bakery,1,Room,2,39,84,7.87
Packaged,9,Room,12,17,61,27.67
Packaged,1,Freezer,21,28,55,69.82
Bakery,7,Fridge,11,5,48,30.37
Bakery,9,Fridge,2,18,76,25.19
Packaged,8,Fridge,9,15,81,40.38
Bakery,7,Freezer,4,10,39,42.56
Bakery,6,Freezer,2,29,35,33.76
Packaged,7,Fridge,5,40,59,38.2
Cooked,3,Room,12,23,65,4.56
Bakery,5,Freezer,15,40,77,20.18
Cooked,3,Room,8,24,70,5.61
Bakery,5,Room,13,16,61,18.09
Packaged,1,Room,3,22,61,35.39
Cooked,6,Freezer,18,35,66,6.44
Bakery,8,Freezer,22,12,53,40.3
Packaged,5,Room,5,8,39,52.14
Packaged,6,Room,5,8,47,43.51
Packaged,1,Fridge,9,23,63,46.79
Cooked,4,Freezer,20,16,78,8.33
Cooked,6,Freezer,10,24,47,13.5
Packaged,2,Fridge,17,27,82,30.41
Cooked,5,Freezer,11,36,56,7.64
Cooked,4,Room,4,37,44,4.82
Packaged,9,Freezer,17,40,74,44.06
Cooked,8,Fridge,2,12,82,4.46
Cooked,6,Fridge,9,28,38,11.91
Packaged,6,Freezer,5,24,31,98.9
Cooked,3,Room,22,14,74,4.31
Cooked,3,Room,2,32,74,3.77
Cooked,1,Room,15,32,32,3.96
Cooked,9,Freezer,18,8,60,9.2
Bakery,2,Room,9,5,78,15.48
Cooked,4,Freezer,18,17,41,15.89
Cooked,3,Room,23,22,90,3.92
Bakery,9,Room,23,20,62,12.84
Cooked,1,Freezer,16,18,75,9.5
Bakery,9,Room,0,11,89,10.16
Packaged,8,Freezer,11,16,58,89.29
Cooked,6,Room,12,32,43,3.86
Bakery,6,Room,3,34,37,13.88
Bakery,5,Fridge,17,7,35,37.37
Cooked,5,Fridge,14,24,73,8.77
Bakery,9,Room,13,23,84,9.8
Cooked,6,Fridge,5,5,73,8.8
Cooked,8,Fridge,16,10,37,8.33
Bakery,10,Freezer,3,15,34,43.64
Cooked,4,Fridge,19,30,37,5.84
Bakery,8,Freezer,8,22,78,31.47
Packaged,6,Fridge,15,30,61,28.8
Cooked,2,Fridge,3,21,61,6.97
Packaged,1,Room,3,8,83,26.81
Packaged,3,Room,12,25,39,39.58
Packaged,2,Room,21,38,79,20.31
Bakery,5,Room,21,36,61,9.34
Packaged,9,Fridge,17,6,90,47.2
Bakery,7,Room,14,25,84,9.9
Bakery,1,Room,5,40,72,11.52
Bakery,3,Freezer,15,32,38,29.12
Bakery,2,Fridge,18,36,72,15.02
Packaged,8,Freezer,15,40,84,28.49
Cooked,5,Fridge,15,29,69,7.44
Bakery,1,Fridge,0,7,38,49.54
Bakery,10,Freezer,0,26,54,27.64
Bakery,7,Fridge,11,8,72,23.13
Cooked,5,Freezer,18,10,88,10.27
Bakery,6,Room,5,6,64,16.32
Bakery,7,Freezer,18,37,87,15.56
Cooked,8,Freezer,18,6,50,14.4
Bakery,10,Fridge,3,36,36,20.91
Cooked,8,Fridge,16,26,40,8.53
Bakery,4,Fridge,15,9,83,25.74
Cooked,5,Fridge,1,24,66,6.23
Cooked,2,Freezer,22,11,67,10.5
Cooked,9,Freezer,15,32,43,7.18
Cooked,5,Freezer,16,24,57,13.54
Bakery,7,Room,12,21,69,12.98
Packaged,3,Freezer,0,38,85,31.35
Bakery,8,Room,8,39,81,7.57
Bakery,1,Freezer,16,17,53,44.11
Cooked,5,Room,13,31,50,4.82
Cooked,4,Freezer,13,22,82,6.92
Cooked,10,Fridge,7,30,45,3.98
Cooked,4,Room,9,34,61,3.28
Bakery,1,Fridge,6,15,47,25.64
Bakery,9,Fridge,5,7,76,25.06
Cooked,2,Room,10,24,85,2.68
Bakery,2,Fridge,12,13,45,24.92
Packaged,2,Freezer,16,38,46,55.94
Cooked,10,Room,3,25,51,6.23
Packaged,4,Fridge,13,18,39,61.49
Cooked,8,Fridge,13,21,85,5.46
Bakery,6,Freezer,22,12,50,42.28
Bakery,4,Freezer,8,14,53,42.34
Bakery,1,Fridge,20,7,83,25.82
Cooked,4,Freezer,8,40,54,7.58
Packaged,2,Fridge,17,20,84,34.65
Cooked,5,Fridge,9,10,89,7.56
Cooked,4,Fridge,5,33,70,4.16
Packaged,1,Fridge,8,10,82,46.05
Bakery,7,Fridge,10,32,86,13.04
Cooked,5,Room,16,9,52,7.1
Packaged,6,Freezer,14,6,78,66.55
Packaged,8,Room,20,13,30,43.73
Packaged,6,Fridge,18,10,37,60.97
Packaged,3,Freezer,19,31,80,42.15
Bakery,3,Fridge,8,16,73,24.7
Bakery,4,Fridge,2,31,53,15.25
Bakery,4,Freezer,0,6,89,33.51
Packaged,4,Freezer,2,34,42,49.11
Cooked,7,Room,19,32,68,2.53
Cooked,3,Fridge,18,12,30,13.59
Bakery,8,Fridge,3,19,75,18.98
Bakery,8,Fridge,12,13,57,31.65
Packaged,5,Room,23,17,56,34.79
Cooked,5,Room,8,20,69,4.29
Cooked,10,Fridge,21,34,35,4.33
Cooked,7,Fridge,21,18,75,6.84
Bakery,10,Freezer,8,9,36,55.91
Cooked,4,Fridge,15,27,68,8.75
Packaged,1,Freezer,0,21,62,68.12
Bakery,6,Fridge,4,40,32,21.38
Bakery,9,Room,15,26,86,9.98
Cooked,9,Fridge,13,14,46,6.67
Cooked,8,Room,8,28,89,3.27
Bakery,5,Freezer,16,25,57,43.02
Bakery,8,Freezer,4,40,84,18.84
Packaged,1,Fridge,6,14,33,68.2
Cooked,5,Fridge,5,34,57,4.34
Bakery,8,Room,11,40,61,8.7
Cooked,3,Freezer,3,27,35,12.14
Bakery,3,Room,23,37,82,7.03
Packaged,4,Freezer,18,5,63,92.69
Cooked,2,Fridge,7,36,73,3.57
Bakery,5,Room,21,12,55,18.07
Cooked,3,Fridge,0,10,59,12.06
Packaged,8,Fridge,20,22,68,42.1
Bakery,10,Room,14,25,90,10.97
Packaged,3,Freezer,6,8,81,73.11
Bakery,2,Room,17,29,35,20.01
Cooked,7,Room,2,6,84,3.8
Bakery,5,Fridge,20,14,37,31.38
Bakery,5,Freezer,21,13,52,45.22
Bakery,4,Freezer,15,33,86,16.09
Bakery,10,Freezer,13,10,78,29.9
Bakery,3,Freezer,13,32,35,25.28
Bakery,4,Fridge,20,14,89,18.93
Packaged,9,Freezer,2,23,59,69.57
Bakery,3,Fridge,4,24,83,14.89
Bakery,10,Fridge,1,40,34,22.85
Packaged,9,Room,13,31,36,26.86
Packaged,5,Freezer,11,21,67,50.84
Packaged,2,Room,23,34,41,28.38
Bakery,2,Room,13,24,50,18.14
Bakery,8,Freezer,19,21,51,42.08
Cooked,3,Room,2,21,85,4.16
Bakery,1,Freezer,0,30,37,25.68
Packaged,8,Fridge,22,30,85,23.94
Packaged,8,Freezer,9,28,74,62.12
Packaged,7,Freezer,9,10,38,87.02
Cooked,1,Room,22,17,84,3.02
Bakery,3,Freezer,20,20,57,43.57
Packaged,2,Room,9,34,39,30.24
Cooked,3,Room,4,33,61,3.15
Bakery,4,Freezer,6,23,66,34.14
Bakery,6,Room,0,11,70,17.4
Bakery,8,Fridge,23,40,48,13.21
Bakery,9,Fridge,18,36,44,17.91
Packaged,7,Room,18,25,65,22.16
Packaged,8,Fridge,3,36,69,32.59
Bakery,7,Fridge,0,15,48,30.58
Bakery,8,Fridge,7,37,44,17.28
